step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
7599,64,,,,,,0.3442092537879944,,,,,
7649,64,,,,,,0.4177760779857635,,,,,
7679,64,,11.304359436035156,5.352453708648682,2.3441903591156006,3.607715845108032,,21.57731437683105,4.231280326843262,6.158617496490479,11.187417030334473,0.7853917479515076
7680,65,0.0003381680289749,,,,,,,,,,
7699,65,,,,,,0.3477066159248352,,,,,
7749,65,,,,,,0.3358558118343353,,,,,
7799,65,,11.02196979522705,5.160591125488281,2.268301486968994,3.5930771827697754,0.3719222545623779,24.811697006225582,3.8325209617614746,8.24102783203125,12.738147735595703,0.891023576259613
7800,66,0.0003329046303406,,,,,,,,,,
7849,66,,,,,,0.3483015298843384,,,,,
7899,66,,,,,,0.4818024933338165,,,,,
7919,66,,11.708343505859377,5.146886825561523,2.5404505729675293,4.021005630493164,,23.770492553710938,5.006646156311035,5.914931297302246,12.84891414642334,0.8767926692962646
7920,67,0.0003275997296441,,,,,,,,,,
7949,67,,,,,,0.4485073089599609,,,,,
7999,67,,,,,,0.3355593681335449,,,,,
8039,67,,11.875508308410645,5.337911605834961,2.615866184234619,3.921730756759644,,21.06778907775879,4.585733413696289,5.20602560043335,11.276030540466309,0.7454899549484253
8040,68,0.0003222560335416,,,,,,,,,,
8049,68,,,,,,0.3251043260097503,,,,,
8099,68,,,,,,0.3581327795982361,,,,,
8149,68,,,,,,0.453312873840332,,,,,
8159,68,,10.327136039733888,5.1690850257873535,2.1197659969329834,3.038285493850708,,20.80194854736328,5.228178977966309,3.3673017024993896,12.20646858215332,0.8107162117958069
8160,69,0.0003168761904817,,,,,,,,,,
8199,69,,,,,,0.3562950491905212,,,,,
8249,69,,,,,,0.3896651268005371,,,,,
8279,69,,10.410518646240234,5.251238822937012,2.1877872943878174,2.9714927673339844,,23.26096534729004,5.2946391105651855,3.699601173400879,14.266725540161133,0.8691665530204773
8280,70,0.0003114629362244,,,,,,,,,,
8299,70,,,,,,0.3648881614208221,,,,,
8349,70,,,,,,0.3791837096214294,,,,,
8399,70,,10.035743713378906,5.0646138191223145,2.103381872177124,2.867748260498047,0.3823584020137787,22.10899353027344,4.297740459442139,5.095259189605713,12.715994834899902,0.811069130897522
8400,71,0.0003060189774259,,,,,,,,,,
8449,71,,,,,,0.3985063731670379,,,,,
8499,71,,,,,,0.3924452066421509,,,,,
8519,71,,10.982301712036133,5.282121181488037,2.2924487590789795,3.407731294631958,,19.339832305908203,4.984492778778076,3.588834762573242,10.766504287719728,0.7272984385490417
8520,72,0.0003005470498465,,,,,,,,,,
8549,72,,,,,,0.353967010974884,,,,,
8599,72,,,,,,0.3136256039142608,,,,,
8639,72,,10.043041229248049,5.236728668212891,2.058271646499634,2.7480411529541016,,21.798847198486328,4.452813625335693,5.272485733032227,12.073549270629885,0.8055387735366821
8640,73,0.0002950499474536,,,,,,,,,,
8649,73,,,,,,0.3262199759483337,,,,,
8699,73,,,,,,0.3886811137199402,,,,,
8749,73,,,,,,0.3527837991714477,,,,,
8759,73,,10.015199661254885,4.9500885009765625,2.169001340866089,2.8961098194122314,,27.337173461914062,4.076207160949707,7.399202346801758,15.86176300048828,1.0936628580093384
8760,74,0.0002895304060075,,,,,,,,,,
8799,74,,,,,,0.3033775091171264,,,,,
8849,74,,,,,,0.3221049010753631,,,,,
8879,74,,9.71424674987793,4.978310108184815,2.105625629425049,2.630310535430908,,24.280017852783203,4.031900882720947,7.709348678588867,12.53876781463623,0.9063208103179932
8880,75,0.000283991190372,,,,,,,,,,
8899,75,,,,,,0.3373875021934509,,,,,
8949,75,,,,,,0.3097975254058838,,,,,
